id,text,annotator_1,annotator_2,annotator_3,label_offensive,label_hate,link
16,"Dan Allah inada tmby wai yara nawa ma suka Haifa ne take wannan shirmen,kodai ta danyi hali irin nasu na mata ne,I rest my case",1,1,1,1,0,https://www.facebook.com/lbrhausa/posts/pfbid0RWVfpEPSJG5zjYfoLiuX9bT21c6mnHmcPb27tpkqn6GV86EFx2b5XA434CntqNpHl
17,"A duk Arewa babu wanda ya kaimu ladabi da hankali. Muna gina yaranmu bisa tubali ingantace don ko in ya tashi ya tashi da hankali, ladabi da kunya. Inaso ka shigo Bida ka koya yadda baba ke musunta na baya gareshi, baba na koya hankali tun shina yaro. Mai hankali, Ladabi, imani da sanin matsayinshi da wuya yaro shi baceka da raini. Saura ya rage gareku. Komai ka shuka shi zaka girba.",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02ELbXiRERUppoi5HRLhkzd62FFN3wwCFdd6Acdf7aygjJ2KQJUJjnfhRxh87eqxMMl?comment_id=1486585878519654
18,Naje hotel kama dakin 30k nakwanta banyi fitsarin kwance Ba hauka akeyi,1,1,1,1,2,https://www.facebook.com/lbrhausa/posts/pfbid0RWVfpEPSJG5zjYfoLiuX9bT21c6mnHmcPb27tpkqn6GV86EFx2b5XA434CntqNpHl
19,A kowane irin Addini akan sami masu sojar Gona wannan de ba pastor bane Allah ya shiga tsakanin nagari da mugu akowane irin addini,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02Yaqo6GcZNvskPuc1nYGFtAzjCkppb8XLtjXrRW7kNcYRwcVNLScf8Skuh3aQQeCtl?comment_id=2135426103296978
20,A kwatan ta adalci mana,0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163498252671271
21,"A masallaci 🤦😭 yaa ubangiji kakawo Mana iyakar wannan musiba Allah yajikan wa inda aka rasa wa inda suka jikkata Allah yabasu lpy Allah yakubutar da wa,inda suka dauka🤲",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0mzCcoKMcnXKPn3mbMCaF6XHMTsuCpSkrG8L5frRD89E6SDSYCezoqyZtt9DJwYUGl?comment_id=520370746205411
22,"A shari'ama batayi laifiba matuqar zata iya tsare ka'idodin yin hakan,amma za'atayi hasarar darajoji masu tarin yawa.",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0RK5EAnj7SzQSz4YZ12etVWGtGtByFAzrrUxApcuZeTa3bj1jiZ78vndeDTsBBaDMl?comment_id=5567350863372366
23,A wani dalili za'a rushe mana gida,0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163440356010394
24,"A,a babu yadda zakayi kana shugaban wani bai bacekaba, inka gane hakuri akeyi kuma hakurin shine takki gareka. Duk wanda Allah yaba shugabanci shikan gwada hankalinsa ga na baya, don yazama misali ga mai tasowa. Mutun bai cika gomaba, ana gwada hankali da imani da hakuri. Wassalam",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02ELbXiRERUppoi5HRLhkzd62FFN3wwCFdd6Acdf7aygjJ2KQJUJjnfhRxh87eqxMMl?comment_id=1486585878519654
25,"A,to kuma dai tazauna ta gani",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02iMXuu9aCXZVpkyufdz9N2zLcUBGSinn3KDgBpxAZzSJXMeH8nhz7eXc3amrAHEH8l?comment_id=2184932538381820
26,A'a kamanta samada shekaru dari ne,0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163395482681548
27,"A'uzubillahi, Ya Allah katona asirin su",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0mzCcoKMcnXKPn3mbMCaF6XHMTsuCpSkrG8L5frRD89E6SDSYCezoqyZtt9DJwYUGl?comment_id=520370746205411
28,"Aa kuy bin cike kilar akwai gurbatattu cikin su, dan nasan gwamnati bata ai watar da aiki sai ta samu gamsassun bayanai shi yasa muke ganin jin kirinra akan wasu yanke hukunci musamman ga yan ta adda",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163483336006096
29,Hm allah yaquta allah yaba kuwa rabasa duk mesA tsridahaka tanemimu kuwadatakecikihaka tayimanA magana in sha allahu,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0rF5YLUawMmaYaZXbmvMCEfiayZMMiipUEhqsXMk6fH276DxAYFR4tjbKNSyhs8mSl
30,"Aikuwa basa haka , kamaci sa,a in basuyi maka duka ba",1,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02ELbXiRERUppoi5HRLhkzd62FFN3wwCFdd6Acdf7aygjJ2KQJUJjnfhRxh87eqxMMl?comment_id=1486585878519654
31,Abanza ai yaran su na daji,1,1,1,1,0,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=610566873333876
32,Abba Nasir Umar Allah Yakaramusu Nauyin Kasa,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02XxNCfpAw9D82Z3tg1KXU5qVEWwmYm4o5c6Av6T8AWgCZnPkj14ZgTd4HhBakGZ3dl?comment_id=1243317806235487
33,Abd-El'Mumeen Gambo Abdullahi ArdoFulbe-FulaniEmpire gaskiya wanan zalumci ne mine ne laifinsu wasuka zalumta wanan yana days saga cikin dalilan dake kara ruruta wutar rikiciki Allah ya sawake,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=164622535890981&reply_comment_id=631281301506824
34,Abd-El'Mumeen Gambo Abdullahi ArdoFulbe-FulaniEmpire ina gani wlhy kuma dayawa masu irin wanan comments basu da tunani ko kadan babu wata kabila ko al'umma da babu mutanen banza ciki harkar kidnapping da tsaro daya lalace arewa. Ae bafulani kawai ake kamawaba babu kabilar da ba'akamawa cikin wanan harka har yan kudu ansha kamasu dawanan harka sabida siyasa dawani a manufa tasiyasa bawanda ake fada sai Fulani sabida kabilan Fulani da hausawa sune target kowane rikiciki yau a Nigeria rigar Fulani ake shiga yan kudu nawa ne aka kama suna sa kayan Fulani suna ta'adanci duk bahaushe dayace Fulani abokan gabarsane wlhy yana yaudaran kansa ne Fulani yan uwanmune baikamata mukyamacesu ba yakamata mudawo da hankulanmu guri daya mufuskanci inda matsalarmu tafara da yanda zamu tunkareta muroki Allah yabamu mafita Allah yagafartaana yayemana wanan fitina ameen,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=164622535890981&reply_comment_id=164629235890311
35,Abdulbasir Sahabi ammah aibasu bane ko kaji tsoran allah,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163345219353241&reply_comment_id=163360932685003
36,Abdulbasir Sahabi idan suna cikin ta'addanci anyi dede idan basu ciki anyi zalunci Allah ya isa,1,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0pb7y8hc912Xhv5GLeuWtbGssE9oBQ5n19XpiUBHy3KGFuP3RLp8X7SXmVDiXZDGwl?comment_id=163345219353241&reply_comment_id=163357996018630
37,Abdulbasir Sahabi su wadannan kuma yan uwansu ne suka tashe su,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163345219353241&reply_comment_id=163518859335877
38,Abdulbasir Sahabi su wadannan ne ko Kuma wasu fulanin ne?,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163345219353241&reply_comment_id=163363566018073
39,Abdulbasir Sahabi wanna n gaskiya ne,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163345219353241&reply_comment_id=163376499350113
40,Abdulbasir Sahabi wlh ko kaduba kagani fa Amma saboda antayar da Yan ta adda suke surutun banza,1,1,1,1,0,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163345219353241&reply_comment_id=1733483710178061
41,"Abdulfattah Salisu Muhammad nifa A Gyambu ta jahar taraba Nataso kasinko koba fullance Gaske maijin Yaren ful6e baigakureni da yaren fulatanci balle kai waini zakagyarawa magana da harshen ful6e idan kaji Anche kado to Arne kenan inkaji Anche ha6e to Arne kenan A jam,i",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02kNvqkxbccYe7mwVhmmLLLVpQ3pnuspWFFTrab1CpVq7kT4AepW3s9FGxvyZ5uWgel?comment_id=163298819357881&reply_comment_id=163992705955159
42,Abdullahi Adam kafara budewa uwarka kafuri,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02tGQg2EGE2xHwDZnm6gDNzSnous674JBQRc8Dm9ZH5g6gncKjVN3VM21bztu1bGKCl?comment_id=163320616022368&reply_comment_id=163353422685754
43,Abdullahi Sani Fago gaskiya ne injiniya,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163473526007077&reply_comment_id=459265692305098
44,Abdulrahman Abubakar fulani makiyaya yanta'adda ne,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163344339353329&reply_comment_id=163353622685734
45,"Abdulrahman Abubakar su ke hada baki da Yan bindiga ,suke Basu mafaka",1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163344339353329&reply_comment_id=163347536019676
46,Abdulrahman Abubakar ubanka daga kai har diyan,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163344339353329&reply_comment_id=163356712685425
47,Abeeye Ahmad Allah ba Axxalumin kowa bane Kuma duk mai gaskiya yana tare dashi Amma A cikin irin Abinda a kewa fulani yayi muni sai kace su ba mutane bane bayan da rayuwar ka da tasu duk daya ko rai yafi rai ne,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0pQxxqZLQBXkmxXmSChgzLp1Uu2PfdRqbFsqphoMihpwwnmFxDLWKMfxQqyBv164bl?comment_id=163452546009175&reply_comment_id=321245449895063
48,"Abin mamaki shi ne mutane basu yarda chewa sai mun tuba da Allah sana mun gera ah layemun sana mun samun sama lafiya, aman ar yan zu mun yada cewar yan siyasa ne zayakawo mana mastala Nigeria",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0mzCcoKMcnXKPn3mbMCaF6XHMTsuCpSkrG8L5frRD89E6SDSYCezoqyZtt9DJwYUGl?comment_id=520370746205411
49,Abin yna kyau sabida ni kainaa abin yna nishadantar dani,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02ELbXiRERUppoi5HRLhkzd62FFN3wwCFdd6Acdf7aygjJ2KQJUJjnfhRxh87eqxMMl?comment_id=1486585878519654
50,Abinciki ya abunyafaru dagaganin rubutu kawai saikowa yafadisanransa infulanin masugaskiyane to abunyazama zalinci idankuma suma munafukaine to hakane daidai,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid0pb7y8hc912Xhv5GLeuWtbGssE9oBQ5n19XpiUBHy3KGFuP3RLp8X7SXmVDiXZDGwl?comment_id=2330525703796029
51,Allah sarki. Irin mazajen Nan suna tsoratamu wlhi😭😭😭😭😭😭😭,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0rF5YLUawMmaYaZXbmvMCEfiayZMMiipUEhqsXMk6fH276DxAYFR4tjbKNSyhs8mSl
52,Abinda akeyiwa gudun faruwan ya riga ya faru a raba tsakanin Hausa da Fulani yanzu kodan masu son zaman lafiya ne shikenan kallon yan ta'adda za'a dinga yimusu Allah ya bamu zaman lafiya a arewa dama duniyar musulmai,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0pb7y8hc912Xhv5GLeuWtbGssE9oBQ5n19XpiUBHy3KGFuP3RLp8X7SXmVDiXZDGwl?comment_id=163530786001351
53,lallai ya muri kudin shi yazama jarimin na miji .ai damace ta mokadar da Kai gara ka mukadar da ita.,1,1,1,1,0,https://www.facebook.com/lbrhausa/posts/pfbid0rF5YLUawMmaYaZXbmvMCEfiayZMMiipUEhqsXMk6fH276DxAYFR4tjbKNSyhs8mSl
54,Abinda ankwana biyu dayinshi basu taimaka ba saiyanxu hmmm.allah ya gyaramana amin,0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163342819353481
55,Abokin Barawo bara???,1,1,1,1,0,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163334479354315
56,abokina wasu abunda suke dauka duk bafulatani Dan taadda ne alhalin bahakaba ne duk iskancin da akeyi hausawa ne jagora fa,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02sxc9kixm2cTuJvRSQfi7E3sw3hC1Zyhn3KGecSE55kCRx3LYc8h2mzoTWabU3qEKl?comment_id=163320669355696&reply_comment_id=962547891033125
57,Abu Abdull Allah ko arne kaima sai Allah yahada ka da ta ka matsalar insha Allah,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163353412685755&reply_comment_id=163356809352082
58,Abu Abdull Hausawa yan cikin gari kumafa,0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163344339353329&reply_comment_id=163355226018907
59,"Abubakar Ahmed Halliru , kowane kabila akwai baragurbi bai kamatayayi jam'i.",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0pimV74dsBoQbN3jhLR6BacpCX1gDm1f6Gj5xZqWs8BMWuBnoQ4AdSniytsfLPBqYl?comment_id=163361516018278&reply_comment_id=163452902675806
60,Abubakar Ahmed Halliru ban fahimci zancenka ba fah,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02sxc9kixm2cTuJvRSQfi7E3sw3hC1Zyhn3KGecSE55kCRx3LYc8h2mzoTWabU3qEKl?comment_id=163337542687342&reply_comment_id=163462322674864
61,Abubakar Garba SLM abokina wlh kacewani abu anan amma wayansu wawayene bazasuganeba shiwancin wawane dananunamasa shibako maibane nagide,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid02sxc9kixm2cTuJvRSQfi7E3sw3hC1Zyhn3KGecSE55kCRx3LYc8h2mzoTWabU3qEKl?comment_id=163506322670464&reply_comment_id=306505921421931
62,"Abubakar Idris ai idan har an same su da laifi irin na ta'Addanci ya halasta arusa gidajensu sannan Kuma akama su ahukunta su, Hukuncin dan ta'Adda kuwa shine kisa kamar yanda yake kashe wadanda basu ji ba basu gani ha",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163276826026747&reply_comment_id=163364119351351
63,"Abubakar Idris haka ne, amma kasan duk inda akace, akwai al'ummar da suke cutar da wasu ta hanyar zalunci, dan doka ta hau kansu ba'ilaifi ba, suma haka sukayi",0,0,1,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02t6Ffj5zVDMx1fyWtbFA3GeN35FhoxHUbToQwPdHpEAh7qk68VnBsrGa3nbv6Y1EHl?comment_id=163276826026747&reply_comment_id=163377976016632
64,Abubakar Ishaq Danmakaranta fulanin sullubawa ake CE musu,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02kNvqkxbccYe7mwVhmmLLLVpQ3pnuspWFFTrab1CpVq7kT4AepW3s9FGxvyZ5uWgel?comment_id=163474519340311&reply_comment_id=163603862660710
65,Abubakar Umar SD damancen sai in mutun bashida tsuron Allah ne zai fada,1,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0pb7y8hc912Xhv5GLeuWtbGssE9oBQ5n19XpiUBHy3KGFuP3RLp8X7SXmVDiXZDGwl?comment_id=1034515457129471
66,Abubuwan da kasar Qatar tayi ba kowacce kasa bane zata iyya yinsa domin tsoron kasashen Yamma Allah yakara muku karfin gwuiwa,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02FHdxeZcqNue7YJio7knoZT6FwFEJtbGx3UJNoiV9SVtULaPDNGER6S16M72DLMnZl?comment_id=674672497565584
67,Jinake idan akace fyade kamar namiji babba yasami karamar yarinya yayi mata taqarfi harya jimata ciwo shine fyade😕,0,1,1,1,2,https://www.facebook.com/lbrhausa/posts/pfbid0RWVfpEPSJG5zjYfoLiuX9bT21c6mnHmcPb27tpkqn6GV86EFx2b5XA434CntqNpHl
68,"Abun kayatarwa harda Muhammadu Sunusi ll, kuma cikin gidan Kutumbawa har da Muhammadu da yayi sarauta sau biyu😌",0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163187372702359/?comment_id=163628305991599
69,"Abun tambaya a nan shine: 1. Shin filin da rugagen suke, asalin na wa ne ne? In filin soja ne, kawai sun share kun zauna, ai Fulanin ba su da case. 2. Akwai wata sahihiyan shaida, alama ko takardan da ke nuna cewa wannan filin na Fulanin ne?",0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163459429341820
70,Abun Tambayan shine tanada Kudi?,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02FFtcXKYSXNW5DsM69BmE1htRRPAXa3TmjFdxxaKt99DCoMDa3YMkWRDdEaCWhp8vl?comment_id=1110706949816326
71,Abun Tau sayi sukuma haka tasu rayiwar takare ya Allah karkasa muzama cikin hasararru Allah ka shiryamu ka yafemana lefukamma kasamu cikin masu tuba kasa mucika da Imani badan halimmuba,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02XxNCfpAw9D82Z3tg1KXU5qVEWwmYm4o5c6Av6T8AWgCZnPkj14ZgTd4HhBakGZ3dl?comment_id=1243317806235487
72,Wannan gidan jaridar Banda shirme Babu Abinda suke kawowa mutane,1,1,1,1,0,https://www.facebook.com/lbrhausa/posts/pfbid0RWVfpEPSJG5zjYfoLiuX9bT21c6mnHmcPb27tpkqn6GV86EFx2b5XA434CntqNpHl
73,"Dakyau 👏👏👏 inne wallahi biyu zan,aura rana Daya 🤗🤗 Tunda batada hankali 🤔🤔 kishi Aiba haukabane Yanzu wagari yawaya kina kiyama kinacin ubanki Shikuma yananan Yana more rayuwarshi tawata bakeba sakarya kawai 🤗🤗 aikara kikashe kanki daki kashe mijin Dama haka akeyi wallahi da ansamu sauki akan kudinga kashe mijin 🤗🤗",1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid0qKnTXaGvKCrCAAcEBXPaZuckDdEAMTrwVQV5Hj3vEvoFzFQuJMxoBB9N4zHopnvtl
74,"Abunda ake bukata bashi sukeyiba sunaso su fisata wadannan sukoma ta,addanci sbd suna da abinci a ciki",0,1,1,1,0,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=467646234749928
75,Abunda DANFODIYO yayiwa kakaninmu hausawa shineh fulani sukeyimana yanzu Dan sununamana dabi'ar su ta gaskiya ALLAH YA ISA FULANI ALLAH ZE MANA HISABI DAKU 🖕🖕🖕  Ku fulani Baku da alkawari Daman malamai since duk Wanda kaga y fiye San mulki to munafiki neh a kasar Nan bawanda yakai bafulatani San yin mulki Kai ni Ina da tambaya wai meye munufar Usman Dan fodiyo ta sauke hausawa daga mulkin sarauta ya Dora fulani yan uwansa meye dalilinsa?????? Pls I need a answer now????,1,1,1,1,1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=6928266047243982
76,Sunyi aikin banza sai me dansunkona shijabi Allah zaitaimaki musulunchi koda kafirai basaso Allah yataimaki musulmai da musulunchi,1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid0pb7y8hc912Xhv5GLeuWtbGssE9oBQ5n19XpiUBHy3KGFuP3RLp8X7SXmVDiXZDGwl?comment_id=6928266047243982
